Model No.,Color,Qty,Without fee (USD),Logo/Banking fee (USD),Net cost/set (USD),Net cost/piece (Baht),Sale price (Baht),Barcodes
"RQ-3366","Dark brown",15,"$16.20","$19.40","$27.16",434.56,"790, 890","S:8562045434537 M:8562075121216 L:8562056609955"
"D26005+D26011","White",9,"$22.00","$25.20","$35.28",564.48,"990, 790","XS:8562007813219 S:8562007946467 M:8562075655568 L:8562075611168"
"CX114+D26011","Black",9,"$14.70","$17.90","$25.06",400.96,"990, 790","S:8562075575552 M:8562012433129 L:8562075108996"
"ZHDS333","Grey",15,"$4.20","$7.40","$10.36",331.52,"790","S:8562075189780 M:8562046507995 L:8562056412210"
"ZHDS333","Pink",15,"$4.20","$7.40","$10.36",331.52,"790","S:8562009912255 M:8562067564564 L:8562012232128"
"ZHDS333","Black",6,"$4.20","$7.40","$10.36",331.52,"790","M:8562007868691"
"DLT9094","Yellow",9,"$14.70","$17.90","$25.06",801.92,"1290","S:8562012232128 M:8562075109085 L:8562008913253"
"CX101","Pink",13,"$6.00","$9.20","$12.88",412.16,"790","S:8562095143205 M:8562014239811 L:8562012208956"
"CX101","Brown",13,"$6.00","$9.20","$12.88",412.16,"790","S:8562045512259 M:8562075100020 L:8562056512255"
"7103+7100","Light brown",15,"$11.50","$14.70","$20.58",329.28,"890, 890","S:8562011983045 M:8562011983007 L:8562011983014"
"7103+7100","Dark brown",15,"$11.50","$14.70","$20.58",329.28,"890, 890","S:8562011982086 M:8562011982062 L:8562011982031"
"20241301","Flare pants",9,"$13.00","$16.20","$22.68",725.76,"990","S:8562011982000 M:8562011982024 L:8562011982048"
"CX114","Pink",9,"$6.70","$9.90","$13.86",443.52,"990","S:8562011981096 M:8562011981072 L:8562011981089"
"CX114","Beige",9,"$6.70","$9.90","$13.86",443.52,"990","S:8562011982055 M:8562011981058 L:8562011981010"
"DQK8115","Blue",9,"$7.50","$10.70","$14.98",479.36,"890","S:8562011981041 M:8562011981027 L:8562011981034"
"YK1352","Blue grey",14,"$9.60","$12.80","$17.92",573.44,"890","S:8562011986909 M:8562011981065 L:8562011986701"
"B-XL37","Blue grey",14,"$13.80","$17.00","$23.80",761.6,"990","S:8562011986800 M:8562075122329 L:8562011986404"
"YB1353","Blue grey",14,"$8.00","$11.20","$15.68",501.76,"790","S:8562011986602 M:8562011986305 L:8562011986503"
"2208+2186","Red-brown",15,"$16.00","$19.20","$26.88",430.08,"890, 890","S:8562011987777 M:8562011986169 L:8562011987128"
"2208+2186","Blue",19,"$16.00","$19.20","$26.88",430.08,"890, 890","S:8562017895670 M:8562011231238 L:8562014561233"
"YY292","Brown",19,"$17.00","$20.20","$28.28",452.48,"890, 790","S:8562017890002 M:8562017892457 L:8562017892891"
"4150+4033","Purple",19,"$17.20","$20.40","$28.56",456.96,"890, 890","S:8562017895564 M:8562017891122 L:8562017989195"
"2208+2189","Red-brown",15,"$17.60","$20.80","$29.12",465.92,"890, 890","S:8562017989294 M:8562017989898 L:8562017979790"
"4150+4069","Dark brown",15,"$18.00","$21.20","$29.68",474.88,"890, 890","S:8562017855551 M:8562017999019 L:8562017879786"
"XW-BGX5045","Black",25,"$10.90","$13.50","$18.90",604.8,"990","XS:2456151555551 S:8989148909098 M:8989148978889"
"XW-YBK5045","Black",25,"$7.50","$10.10","$14.14",452.48,"990","S:8989148912227 M:8989140909089 L:2456151544449"
"XW-LBW5045","Black",25,"$7.50","$10.10","$14.14",452.48,"890","XS:8989148963335 S:8989148922110 M:2456152327775"
"XW-LBD5045","Black",25,"$5.90","$8.50","$11.90",380.8,"890","S:2456152329335 M:8989141223214 L:2456151511113"
"XW-YY285","Black",25,"$7.60","$10.20","$14.28",456.96,"790","S:2456151533337 M:2456151522225 L:2456151769996"
"XW-YY285","Black",25,"$7.30","$9.90","$13.86",443.52,"790","S:2456151888888 M:8989148965551 L:8989148957006"