Model No.,Color,Size,Barcode,Net cost/piece (Baht),Sale price (Baht)
"RQ-3366","Dark brown","S","8562045434537",434.56,"790, 890"
"RQ-3366","Dark brown","M","8562075121216",434.56,"790, 890"
"RQ-3366","Dark brown","L","8562056609955",434.56,"790, 890"
"D26005+D26011","White","XS","8562007813219",564.48,"990, 790"
"D26005+D26011","White","S","8562007946467",564.48,"990, 790"
"D26005+D26011","White","M","8562075655568",564.48,"990, 790"
"D26005+D26011","White","L","8562075611168",564.48,"990, 790"
"CX114+D26011","Black","S","8562075575552",400.96,"990, 790"
"CX114+D26011","Black","M","8562012433129",400.96,"990, 790"
"CX114+D26011","Black","L","8562075108996",400.96,"990, 790"
"ZHDS333","Grey","S","8562075189780",331.52,"790"
"ZHDS333","Grey","M","8562046507995",331.52,"790"
"ZHDS333","Grey","L","8562056412210",331.52,"790"
"ZHDS333","Pink","S","8562009912255",331.52,"790"
"ZHDS333","Pink","M","8562067564564",331.52,"790"
"ZHDS333","Pink","L","8562012232128",331.52,"790"
"ZHDS333","Black","M","8562007868691",331.52,"790"
"DLT9094","Yellow","S","8562012232128",801.92,"1290"
"DLT9094","Yellow","M","8562075109085",801.92,"1290"
"DLT9094","Yellow","L","8562008913253",801.92,"1290"
"CX101","Pink","S","8562095143205",412.16,"790"
"CX101","Pink","M","8562014239811",412.16,"790"
"CX101","Pink","L","8562012208956",412.16,"790"
"CX101","Brown","S","8562045512259",412.16,"790"
"CX101","Brown","M","8562075100020",412.16,"790"
"CX101","Brown","L","8562056512255",412.16,"790"
"7103+7100","Light brown","S","8562011983045",329.28,"890, 890"
"7103+7100","Light brown","M","8562011983007",329.28,"890, 890"
"7103+7100","Light brown","L","8562011983014",329.28,"890, 890"
"7103+7100","Dark brown","S","8562011982086",329.28,"890, 890"
"7103+7100","Dark brown","M","8562011982062",329.28,"890, 890"
"7103+7100","Dark brown","L","8562011982031",329.28,"890, 890"
"20241301","Flare pants","S","8562011982000",725.76,"990"
"20241301","Flare pants","M","8562011982024",725.76,"990"
"20241301","Flare pants","L","8562011982048",725.76,"990"
"CX114","Pink","S","8562011981096",443.52,"990"
"CX114","Pink","M","8562011981072",443.52,"990"
"CX114","Pink","L","8562011981089",443.52,"990"
"CX114","Beige","S","8562011982055",443.52,"990"
"CX114","Beige","M","8562011981058",443.52,"990"
"CX114","Beige","L","8562011981010",443.52,"990"
"DQK8115","Blue","S","8562011981041",479.36,"890"
"DQK8115","Blue","M","8562011981027",479.36,"890"
"DQK8115","Blue","L","8562011981034",479.36,"890"
"YK1352","Blue grey","S","8562011986909",573.44,"890"
"YK1352","Blue grey","M","8562011981065",573.44,"890"
"YK1352","Blue grey","L","8562011986701",573.44,"890"
"B-XL37","Blue grey","S","8562011986800",761.6,"990"
"B-XL37","Blue grey","M","8562075122329",761.6,"990"
"B-XL37","Blue grey","L","8562011986404",761.6,"990"
"YB1353","Blue grey","S","8562011986602",501.76,"790"
"YB1353","Blue grey","M","8562011986305",501.76,"790"
"YB1353","Blue grey","L","8562011986503",501.76,"790"
"2208+2186","Red-brown","S","8562011987777",430.08,"890, 890"
"2208+2186","Red-brown","M","8562011986169",430.08,"890, 890"
"2208+2186","Red-brown","L","8562011987128",430.08,"890, 890"
"2208+2186","Blue","S","8562017895670",430.08,"890, 890"
"2208+2186","Blue","M","8562011231238",430.08,"890, 890"
"2208+2186","Blue","L","8562014561233",430.08,"890, 890"
"YY292","Brown","S","8562017890002",452.48,"890, 790"
"YY292","Brown","M","8562017892457",452.48,"890, 790"
"YY292","Brown","L","8562017892891",452.48,"890, 790"
"4150+4033","Purple","S","8562017895564",456.96,"890, 890"
"4150+4033","Purple","M","8562017891122",456.96,"890, 890"
"4150+4033","Purple","L","8562017989195",456.96,"890, 890"
"2208+2189","Red-brown","S","8562017989294",465.92,"890, 890"
"2208+2189","Red-brown","M","8562017989898",465.92,"890, 890"
"2208+2189","Red-brown","L","8562017979790",465.92,"890, 890"
"4150+4069","Dark brown","S","8562017855551",474.88,"890, 890"
"4150+4069","Dark brown","M","8562017999019",474.88,"890, 890"
"4150+4069","Dark brown","L","8562017879786",474.88,"890, 890"
"XW-BGX5045","Black","XS","2456151555551",604.8,"990"
"XW-BGX5045","Black","S","8989148909098",604.8,"990"
"XW-BGX5045","Black","M","8989148978889",604.8,"990"
"XW-YBK5045","Black","S","8989148912227",452.48,"990"
"XW-YBK5045","Black","M","8989140909089",452.48,"990"
"XW-YBK5045","Black","L","2456151544449",452.48,"990"
"XW-LBW5045","Black","XS","8989148963335",452.48,"890"
"XW-LBW5045","Black","S","8989148922110",452.48,"890"
"XW-LBW5045","Black","M","2456152327775",452.48,"890"
"XW-LBD5045","Black","S","2456152329335",380.8,"890"
"XW-LBD5045","Black","M","8989141223214",380.8,"890"
"XW-LBD5045","Black","L","2456151511113",380.8,"890"
"XW-YY285","Black","S","2456151533337",456.96,"790"
"XW-YY285","Black","M","2456151522225",456.96,"790"
"XW-YY285","Black","L","2456151769996",456.96,"790"
"XW-YY285","Black","S","2456151888888",443.52,"790"
"XW-YY285","Black","M","8989148965551",443.52,"790"
"XW-YY285","Black","L","8989148957006",443.52,"790"